mdate,defl,date
2000m2,0.255209290965812,2000-02-01
2000m3,0.256780876414218,2000-03-01
2000m4,0.257903438761462,2000-04-01
2000m5,0.259087229860923,2000-05-01
2000m6,0.260373075006531,2000-06-01
2000m7,0.261352767202376,2000-07-01
2000m8,0.262720249152827,2000-08-01
2000m9,0.263740762048263,2000-09-01
2000m10,0.265557267099876,2000-10-01
2000m11,0.265679729198649,2000-11-01
2000m12,0.266189985646367,2000-12-01
2001m1,0.267067623796065,2001-01-01
2001m2,0.267843212493955,2001-02-01
2001m3,0.268843312742426,2001-03-01
2001m4,0.271027204090358,2001-04-01
2001m5,0.272741664284502,2001-05-01
2001m6,0.271537460538076,2001-06-01
2001m7,0.273925455383963,2001-07-01
2001m8,0.273149866686073,2001-08-01
2001m9,0.27398668413618,2001-09-01
2001m10,0.274721452134479,2001-10-01
2001m11,0.274945968279399,2001-11-01
2001m12,0.275741965029915,2001-12-01
2002m1,0.278150367928428,2002-01-01
2002m2,0.280007698273971,2002-02-01
2002m3,0.28247733451904,2002-03-01
2002m4,0.287028812660233,2002-04-01
2002m5,0.290437315807218,2002-05-01
2002m6,0.29558069179531,2002-06-01
2002m7,0.309949481570224,2002-07-01
2002m8,0.328012519389258,2002-08-01
2002m9,0.338238033424549,2002-09-01
2002m10,0.341503666420134,2002-10-01
2002m11,0.342973202416732,2002-11-01
2002m12,0.34727975636038,2002-12-01
2003m1,0.353770206246298,2003-01-01
2003m2,0.358566603990698,2003-02-01
2003m3,0.363016032680083,2003-03-01
2003m4,0.366465356526658,2003-04-01
2003m5,0.367832843071448,2003-05-01
2003m6,0.368424736324009,2003-06-01
2003m7,0.370261658616926,2003-07-01
2003m8,0.374568212560573,2003-08-01
2003m9,0.377568513305986,2003-09-01
2003m10,0.379548301155963,2003-10-01
2003m11,0.380160607055489,2003-11-01
2003m12,0.382650655947523,2003-12-01
2004m1,0.39101884423161,2004-01-01
2004m2,0.391080072983827,2004-02-01
2004m3,0.393427247130123,2004-03-01
2004m4,0.398284878221079,2004-04-01
2004m5,0.402428149366363,2004-05-01
2004m6,0.403754815211561,2004-06-01
2004m7,0.407836857604628,2004-07-01
2004m8,0.412653667995993,2004-08-01
2004m9,0.413776230343237,2004-09-01
2004m10,0.412408743798447,2004-10-01
2004m11,0.411327002150794,2004-11-01
2004m12,0.411694388447113,2004-12-01
2005m1,0.413245561248554,2005-01-01
2005m2,0.413225153195928,2005-02-01
2005m3,0.415000842142289,2005-03-01
2005m4,0.419266575386345,2005-04-01
2005m5,0.419348216785527,2005-05-01
2005m6,0.420470779132771,2005-06-01
2005m7,0.425879482776697,2005-07-01
2005m8,0.42677753357336,2005-08-01
2005m9,0.430104399915501,2005-09-01
2005m10,0.431451473813326,2005-10-01
2005m11,0.430941217365608,2005-11-01
2005m12,0.431880084267523,2005-12-01
2006m1,0.437778636306541,2006-01-01
2006m2,0.440697300247111,2006-02-01
2006m3,0.442105602897153,2006-03-01
2006m4,0.444411956343858,2006-04-01
2006m5,0.447208153591316,2006-05-01
2006m6,0.448636868888323,2006-06-01
2006m7,0.452453579031218,2006-07-01
2006m8,0.456025369570904,2006-08-01
2006m9,0.458474593169009,2006-09-01
2006m10,0.45755613431972,2006-10-01
2006m11,0.457719417118083,2006-11-01
2006m12,0.459433872717889,2006-12-01
2007m1,0.46757756782875,2007-01-01
2007m2,0.470434970856731,2007-02-01
2007m3,0.474659878806858,2007-03-01
2007m4,0.48045637220539,2007-04-01
2007m5,0.48410983630463,2007-05-01
2007m6,0.484762967498086,2007-06-01
2007m7,0.488763350114615,2007-07-01
2007m8,0.497213166014868,2007-08-01
2007m9,0.499274599858366,2007-09-01
2007m10,0.498131620269818,2007-10-01
2007m11,0.496988640681271,2007-11-01
2007m12,0.498499029537831,2007-12-01
2008m1,0.502376973027281,2008-01-01
2008m2,0.506969244302032,2008-02-01
2008m3,0.512765737700565,2008-03-01
2008m4,0.514459808219437,2008-04-01
2008m5,0.518950039231059,2008-05-01
2008m6,0.525603790292695,2008-06-01
2008m7,0.527950946061636,2008-07-01
2008m8,0.53331883360031,2008-08-01
2008m9,0.536523247032356,2008-09-01
2008m10,0.538298913007023,2008-10-01
2008m11,0.539302500358588,2008-11-01
2008m12,0.544319931739153,2008-12-01
2009m1,0.548626481088461,2009-01-01
2009m2,0.547156981846573,2009-02-01
2009m3,0.551361444989364,2009-03-01
2009m4,0.551136965599154,2009-04-01
2009m5,0.553382081104964,2009-05-01
2009m6,0.559668422898588,2009-06-01
2009m7,0.565199593235627,2009-07-01
2009m8,0.572159465086655,2009-08-01
2009m9,0.573486126337515,2009-09-01
2009m10,0.573424929745669,2009-10-01
2009m11,0.57375144939901,2009-11-01
2009m12,0.576445615572015,2009-12-01
2010m1,0.581833901974638,2010-01-01
2010m2,0.585079159077968,2010-02-01
2010m3,0.590630728278954,2010-03-01
2010m4,0.591671621660984,2010-04-01
2010m5,0.59261052072327,2010-05-01
2010m6,0.594284146434807,2010-06-01
2010m7,0.600733771026795,2010-07-01
2010m8,0.607918168211421,2010-08-01
2010m9,0.609734677857373,2010-09-01
2010m10,0.61365341907472,2010-10-01
2010m11,0.613184015486965,2010-11-01
2010m12,0.616408827782959,2010-12-01
2011m1,0.624113901375536,2011-01-01
2011m2,0.629969799573811,2011-02-01
2011m3,0.638907718020439,2011-03-01
2011m4,0.641065173543335,2011-04-01
2011m5,0.643160973040512,2011-05-01
2011m6,0.645441648728071,2011-06-01
2011m7,0.650311280231782,2011-07-01
2011m8,0.65394811282483,2011-08-01
2011m9,0.657276711232671,2011-09-01
2011m10,0.661961420602614,2011-10-01
2011m11,0.664735252609148,2011-11-01
2011m12,0.66941996197909,2011-12-01
2012m1,0.674351249508521,2012-01-01
2012m2,0.679960569547308,2012-02-01
2012m3,0.686679422388709,2012-03-01
2012m4,0.692288742427496,2012-04-01
2012m5,0.695000918408312,2012-05-01
2012m6,0.697096717905489,2012-06-01
2012m7,0.698945939243178,2012-07-01
2012m8,0.70547986995081,2012-08-01
2012m9,0.714047990073288,2012-09-01
2012m10,0.72224621998484,2012-10-01
2012m11,0.724773473831887,2012-11-01
2012m12,0.719472387978306,2012-12-01
2013m1,0.733156625877209,2013-01-01
2013m2,0.740430245119916,2013-02-01
2013m3,0.745299876623628,2013-03-01
2013m4,0.748628520974856,2013-04-01
2013m5,0.751032508713853,2013-05-01
2013m6,0.754299451095975,2013-06-01
2013m7,0.760093693268531,2013-07-01
2013m8,0.767983734938265,2013-08-01
2013m9,0.778462686480763,2013-09-01
2013m10,0.784873351080345,2013-10-01
2013m11,0.786475994258547,2013-11-01
2013m12,0.780805064137428,2013-12-01
2014m1,0.799852089859017,2014-01-01
2014m2,0.81310487340805,2014-02-01
2014m3,0.817851192860324,2014-03-01
2014m4,0.817358082484736,2014-04-01
2014m5,0.819946992357501,2014-05-01
2014m6,0.822782480389754,2014-06-01
2014m7,0.828946566829848,2014-07-01
2014m8,0.835172309295661,2014-08-01
2014m9,0.843555461340983,2014-09-01
2014m10,0.848548358952744,2014-10-01
2014m11,0.849781203806795,2014-11-01
2014m12,0.845281416570622,2014-12-01
2015m1,0.864020254050392,2015-01-01
2015m2,0.873512938898327,2015-02-01
2015m3,0.879615369312703,2015-03-01
2015m4,0.884608266924464,2015-04-01
2015m5,0.888923132026869,2015-05-01
2015m6,0.892929808887454,2015-06-01
2015m7,0.903716948671772,2015-07-01
2015m8,0.91438082234804,2015-08-01
2015m9,0.920668220839571,2015-09-01
2015m10,0.92621588485264,2015-10-01
2015m11,0.930160905687507,2015-11-01
2015m12,0.925044696024307,2015-12-01
2016m1,0.947666898313225,2016-01-01
2016m2,0.962830559225666,2016-02-01
2016m3,0.972816400392577,2016-03-01
2016m4,0.977254531603032,2016-04-01
2016m5,0.986685606368635,2016-05-01
2016m6,0.990630581260115,2016-06-01
2016m7,0.99451399201265,2016-07-01
2016m8,1.00018492213377,2016-08-01
2016m9,1.00265056589848,2016-09-01
2016m10,1.00449978723617,2016-10-01
2016m11,1.00548605393074,2016-11-01
2016m12,1,2016-12-01
2017m1,1.02601245672248,2017-01-01
2017m2,1.03112866638568,2017-02-01
2017m3,1.03809409738657,2017-03-01
2017m4,1.04037477307412,2017-04-01
2017m5,1.04173088403623,2017-05-01
2017m6,1.0432719171321,2017-06-01
2017m7,1.04660051553994,2017-07-01
2017m8,1.05467547934344,2017-08-01
2017m9,1.06034645540795,2017-09-01
2017m10,1.06521608691166,2017-10-01
2017m11,1.06879126347899,2017-11-01
2017m12,1.06552427515348,2017-12-01
2018m1,1.09443382999054,2018-01-01
2018m2,1.10404982688991,2018-02-01
2018m3,1.10713184713826,2018-03-01
2018m4,1.10787158161673,2018-04-01
2018m5,1.11687111014569,2018-05-01
2018m6,1.12790482808949,2018-06-01
2018m7,1.13462368093089,2018-07-01
